TIME;Battery_Volt_L;Battery_Current_L;RPM_L;Motor_Temp_L;ESC_Temp_Main_L;Electronics_Temp_L;ESC_Temp_CAP_L;Output_PWM_L;Input_PWM_L;ERR_Neutral_L;ERR_DRIVINGSIGNAL1_L;ERR_DRIVINGSIGNAL2_L;ERR_OVER_CURR_L;ERR_OVER_CURR_PHAS_L;ERR_MOTOR_SENSOR_L;ERR_DRIVER_L;ERR_HALOK_L;ERR_ESC_L;ERR_HW_L;ERR_MOSFET_TEMPER_L;ERR_RUN_ENABLE_L;ERR_BAT_UNDER_V_L;ERR_BAT_OVER_V_L;ERR_BUS_UNDER_V_L;ERR_PARAMATERS_L;ERR_EMERGENCY_L;ERR_POWER_OFF_FIX_L;ERR_POWER_OFF_REQ_L;Warning_L;Notice_L;Phase_Current_Max_L;Internal_Status_L;Battery_Int_Volt_L;Ext_Supply_Volt_L;Main_Bus_Volt_L;Battery_Volt_R;Battery_Current_R;RPM_R;Motor_Temp_R;ESC_Temp_Main_R;Electronics_Temp_R;ESC_Temp_CAP_R;Output_PWM_R;Input_PWM_R;ERR_Neutral_R;ERR_DRIVINGSIGNAL1_R;ERR_DRIVINGSIGNAL2_R;ERR_OVER_CURR_R;ERR_OVER_CURR_PHAS_R;ERR_MOTOR_SENSOR_R;ERR_DRIVER_R;ERR_HALOK_R;ERR_ESC_R;ERR_HW_R;ERR_MOSFET_TEMPER_R;ERR_RUN_ENABLE_R;ERR_BAT_UNDER_V_R;ERR_BAT_OVER_V_R;ERR_BUS_UNDER_V_R;ERR_PARAMATERS_R;ERR_EMERGENCY_R;ERR_POWER_OFF_FIX_R;ERR_POWER_OFF_REQ_R;Warning_R;Notice_R;Phase_Current_Max_R;Internal_Status_R;Battery_Int_Volt_R;Ext_Supply_Volt_R;Main_Bus_Volt_R;LHM_Fx;LHM_Fy;LHM_Fz;LHM_Mx;LHM_My;LHM_Mz;RHM_Fx;RHM_Fy;RHM_Fz;RHM_Mx;RHM_My;RHM_Mz;LHM_STRO1a;LHM_STRO1b;LHM_STRO1c;RHM_STRO1a;RHM_STRO1b;RHM_STRO1c;LHM_STRO2a;LHM_STRO2b;LHM_STRO2c;RHM_STRO2a;RHM_STRO2b;RHM_STRO2c;LHM_VEL;RHM_VEL;LHM_VIBO1x;LHM_VIBO1y;LHM_VIBO1z;RHM_VIBO2x;RHM_VIBO2y;RHM_VIBO2z;LHM_VIBO3x;LHM_VIBO3y;LHM_VIBO3z;RHM_VIBO4x;RHM_VIBO4y;RHM_VIBO4z;LHM_VIBO5x;LHM_VIBO5y;LHM_VIBO5z;RHM_VIBO6x;RHM_VIBO6y;RHM_VIBO6z;IMU_x;IMU_y;IMU_z;Test_ID
19:39,2;393;0;0;32;31;38;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;393;11;12;398;0;0;33;31;37;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;1000;396;11;12;32,50617;133,639929;267,229375;11,940366;-1,453291;-0,928022;35,855799;157,522685;478,472955;7,84198;0,885428;1,488896;0,062486;0,062495;0,06246;0,062498;0,062432;0,062438;0,062516;0,06253;0,062439;0,06253;0,062646;0,062646;0;0;-0,004737;-0,007014;-0,00363;-0,118281;-0,110962;-0,139474;0,010001;0,002841;-0,019424;-0,193875;-0,357111;-0,179581;-0,02157;-0,016094;-0,051935;-0,437214;-0,456805;-0,571161;0,000;0,000;0,000;0
19:39,2;393;0;0;32;31;38;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1000;393;11;12;398;0;0;33;31;37;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;0;1000;396;11;12;40,268506;131,79623;289,462425;11,8521;-1,384578;-0,878082;34,75311;159,122978;470,997971;7,88278;0,689568;1,476738;0,062486;0,062495;0,06246;0,062498;0,062432;0,062438;0,062516;0,06253;0,062439;0,06253;0,062646;0,062646;0;0;0,002313;0,000515;0,005487;-0,050862;-0,050107;-0,062429;0,015766;0,0096;0,001695;-0,031749;-0,155753;-0,005009;-0,000725;0,000734;-0,014286;-0,199186;-0,216639;-0,2711;0,000;0,000;0,000;0
